slug,cat,sub,judet,loc,tel,web,lat,lng,tip,nume,adr,maps,name,phone,website,address,category,city,county,rating,reviews,google_maps_url,judet_key
ozel-steel-profil-distribution-srl-bacau,Servicii,Profile metalice,Bacău,Bacău,+40 234 581 819,,,,Servicii construcții,Ozel Steel Profil Distribution SRL,,,Ozel Steel Profil Distribution SRL,+40 234 581 819,,,Profile metalice,Bacău,Bacău,,,,bacau
panorama-ferestre-bacau,Materiale,Uși si ferestre,Bacău,Bacău,+40 753 919 999,,,,Furnizor materiale,Panorama Ferestre,,,Panorama Ferestre,+40 753 919 999,,,Uși si ferestre,Bacău,Bacău,,,,bacau
sc-lunacan-proiect-srl-bacau,Materiale,Termopane,Bacău,Bacău,+40 755 075 506,,,,Furnizor materiale,SC LUNACAN PROIECT SRL,,,SC LUNACAN PROIECT SRL,+40 755 075 506,,,Termopane,Bacău,Bacău,,,,bacau
transport-marfa-bacau-bacau,Servicii,Transport materiale construcții,Bacău,Bacău,+40 741 529 228,,,,Utilaje și transport,Transport marfa Bacău,,,Transport marfa Bacău,+40 741 529 228,,,Transport materiale construcții,Bacău,Bacău,,,,bacau
triton-bacau-sc-triton-srl-bacau,Materiale,Scule profesionale,Bacău,Bacău,+40 727 999 393,,,,Furnizor materiale,Triton Bacău - SC Triton SRL,,,Triton Bacău - SC Triton SRL,+40 727 999 393,,,Scule profesionale,Bacău,Bacău,,,,bacau
vasion-bacau,Materiale,Depozit materiale construcții,Bacău,Bacău,+40 234 586 902,,,,Furnizor materiale,Vasion,,,Vasion,+40 234 586 902,,,Depozit materiale construcții,Bacău,Bacău,,,,bacau
tigla-metalica-caretta-bacau,Materiale,Acoperișuri,Bacău,Bacău,+40 755 037 040,,,,Furnizor materiale,Țiglă Metalică Caretta,,,Țiglă Metalică Caretta,+40 755 037 040,,,Acoperișuri,Bacău,Bacău,,,,bacau
cherestea-si-lemn-foc-comanesti,Materiale,Lemn si osb,Bacău,Comănești,+40 746 549 017,https://www.facebook.com/cherestea.RO/,,,Furnizor materiale,Cherestea si lemn Foc,,,Cherestea si lemn Foc,+40 746 549 017,https://www.facebook.com/cherestea.RO/,,Lemn si osb,Comănești,Bacău,,,,bacau
sego-garduri-placi-beton-cotofanesti,Materiale,Prefabricate beton,Bacău,Coțofănești,+40 755 153 960,,,,Producător,SEGO - Garduri placi beton,,,SEGO - Garduri placi beton,+40 755 153 960,,,Prefabricate beton,Coțofănești,Bacău,,,,bacau
pavele-bacau-carligi,Materiale,Pavele,Bacău,Cârligi,+40 755 507 800,,,,Furnizor materiale,Pavele Bacău,,,Pavele Bacău,+40 755 507 800,,,Pavele,Cârligi,Bacău,,,,bacau
balastiera-bacau-galbeni,Materiale,Agregate balast nisip,Bacău,Galbeni,+40 756 408 440,,,,Furnizor materiale,Balastiera Bacău,,,Balastiera Bacău,+40 756 408 440,,,Agregate balast nisip,Galbeni,Bacău,,,,bacau
depozite-cherestea-hemeius-hemeius,Materiale,Cherestea,Bacău,Hemeiuș,+40 744 185 813,https://www.facebook.com/groups/1994792310735262/posts/4219884448226026/,,,Furnizor materiale,Depozite Cherestea Hemeiuș,,,Depozite Cherestea Hemeiuș,+40 744 185 813,https://www.facebook.com/groups/1994792310735262/posts/4219884448226026/,,Cherestea,Hemeiuș,Bacău,,,,bacau
g-c-utilaje-hemeius,Servicii,Utilaje construcții,Bacău,Hemeiuș,+40 733 033 912,,,,Utilaje și transport,G&C Utilaje,,,G&C Utilaje,+40 733 033 912,,,Utilaje construcții,Hemeiuș,Bacău,,,,bacau
temcon-impex-hemeius,Materiale,Cherestea,Bacău,Hemeiuș,+40 756 060 921,,,,Furnizor materiale,Temcon Impex,,,Temcon Impex,+40 756 060 921,,,Cherestea,Hemeiuș,Bacău,,,,bacau
rocada-lilieci,Materiale,Piatră decorativa,Bacău,Lilieci,+40 733 919 630,,,,Furnizor materiale,ROCADA,,,ROCADA,+40 733 919 630,,,Piatră decorativa,Lilieci,Bacău,,,,bacau
agregate-mold-srl-moinesti,Materiale,Agregate balast nisip,Bacău,Moinești,+40 751 223 301,,46.4694,26.4914,Furnizor materiale,Agregate Mold SRL,,,Agregate Mold SRL,+40 751 223 301,,,Agregate balast nisip,Moinești,Bacău,,,,bacau
termo-pvc-design-onesti,Materiale,Tâmplărie pvc aluminiu,Bacău,Onești,+40 752 111 101,https://facebook.com/termopvcdesign,46.2444,26.7314,Furnizor materiale,Termo PVC Design,,,Termo PVC Design,+40 752 111 101,https://facebook.com/termopvcdesign,,Tâmplărie pvc aluminiu,Onești,Bacău,,,,bacau
ii-buciumanu-gabriela-albesti,Depozit,Depozit,Botoșani,Albești,+40 746 023 307,https://www.facebook.com/share/15uufKW7T7/,,,firma,II Buciumanu Gabriela,,,II Buciumanu Gabriela,+40 746 023 307,https://www.facebook.com/share/15uufKW7T7/,,Depozit,Albești,Botoșani,,,,botosani
depozit-materiale-constructii-blandesti,Magazin de materiale de construcții,Magazin de materiale de construcții,Botoșani,Blândeşti,+40 744 818 739,,,,firma,Depozit Materiale Constructii,,,Depozit Materiale Constructii,+40 744 818 739,,,Magazin de materiale de construcții,Blândeşti,Botoșani,,,,botosani
botosani,Magazin de ferestre din PVC,Magazin de ferestre din PVC,Botoșani,Botoșani,+40 744 548 385,,,,firma,.,,,.,+40 744 548 385,,,Magazin de ferestre din PVC,Botoșani,Botoșani,,,,botosani
abc-con-international-botosani,Constructor de case personalizate,Constructor de case personalizate,Botoșani,Botoșani,+40 331 713 333,http://abc-con.ro/,,,firma,ABC-CON International,,,ABC-CON International,+40 331 713 333,http://abc-con.ro/,,Constructor de case personalizate,Botoșani,Botoșani,,,,botosani
acs-design-proiect-s-r-l-botosani,Arhitect,Arhitect,Botoșani,Botoșani,+40 231 530 230,https://www.listafirme.ro/acs-design-proiect-srl-2584003/,,,firma,ACS DESIGN PROIECT S.R.L.,,,ACS DESIGN PROIECT S.R.L.,+40 231 530 230,https://www.listafirme.ro/acs-design-proiect-srl-2584003/,,Arhitect,Botoșani,Botoșani,,,,botosani
adt-electric-construct-srl-botosani,Electrician,Electrician,Botoșani,Botoșani,+40 759 836 043,,,,firma,ADT ELECTRIC CONSTRUCT SRL,,,ADT ELECTRIC CONSTRUCT SRL,+40 759 836 043,,,Electrician,Botoșani,Botoșani,,,,botosani
alero-s-r-l-botosani,Companie de construcții,Companie de construcții,Botoșani,Botoșani,+40 331 815 507,https://alero.ro/,,,firma,ALERO S.R.L.,,,ALERO S.R.L.,+40 331 815 507,https://alero.ro/,,Companie de construcții,Botoșani,Botoșani,,,,botosani
alp-termoinstal-instalator-botosani-botosani,Instalator,Instalator,Botoșani,Botoșani,+40 770 245 739,https://alptermoinstal.ro/,,,firma,ALP TermoInstal Instalator Botoșani,,,ALP TermoInstal Instalator Botoșani,+40 770 245 739,https://alptermoinstal.ro/,,Instalator,Botoșani,Botoșani,,,,botosani
alth-energy-dgp-botosani,Serviciu de instalare electrică,Serviciu de instalare electrică,Botoșani,Botoșani,+40 757 821 812,,,,firma,ALTH Energy DGP,,,ALTH Energy DGP,+40 757 821 812,,,Serviciu de instalare electrică,Botoșani,Botoșani,,,,botosani
andy-s-s-r-l-botosani,Magazin de materiale de construcții,Magazin de materiale de construcții,Botoșani,Botoșani,+40 751 300 234,http://www.totex.ro/,,,firma,ANDY'S S.R.L.,,,ANDY'S S.R.L.,+40 751 300 234,http://www.totex.ro/,,Magazin de materiale de construcții,Botoșani,Botoșani,,,,botosani
arhitectura-sebastian-dimitropol-b-i-a-botosani,Arhitect,Arhitect,Botoșani,Botoșani,+40 751 420 947,,,,firma,ARHITECTURA-Sebastian Dimitropol B.I.A.,,,ARHITECTURA-Sebastian Dimitropol B.I.A.,+40 751 420 947,,,Arhitect,Botoșani,Botoșani,,,,botosani
ate-botosani,Producător de ferestre pvc,Producător de ferestre pvc,Botoșani,Botoșani,+40 751 794 856,https://www.facebook.com/profile.php?id=100057427960037,,,firma,ATE,,,ATE,+40 751 794 856,https://www.facebook.com/profile.php?id=100057427960037,,Producător de ferestre pvc,Botoșani,Botoșani,,,,botosani
achim-energy-botosani,Companie de energie solară,Companie de energie solară,Botoșani,Botoșani,+40 748 513 646,https://www.achimenergy.ro/,,,firma,Achim Energy,,,Achim Energy,+40 748 513 646,https://www.achimenergy.ro/,,Companie de energie solară,Botoșani,Botoșani,,,,botosani
activ-24-botosani,firma,Construcții,Botoșani,Botoșani,+40 722 283 831,http://www.activ-24.ro/contact-2/,,,firma,Activ 24,,,Activ 24,+40 722 283 831,http://www.activ-24.ro/contact-2/,,Construcții,Botoșani,Botoșani,,,,botosani
amplis-prima-stihl-botosani,Magazin de unelte,Magazin de unelte,Botoșani,Botoșani,+40 231 708 330,,,,firma,Amplis Prima Stihl,,,Amplis Prima Stihl,+40 231 708 330,,,Magazin de unelte,Botoșani,Botoșani,,,,botosani
antonio-radu-intreprindere-individuala-nan,Grădinar,Grădinar,Botoșani,Botoșani,+40 738 420 952,,,,firma,Antonio Radu întreprindere individuala,,,Antonio Radu întreprindere individuala,+40 738 420 952,,,Grădinar,Botoșani,Botoșani,,,,botosani
aquaterm-botosani,firma,Construcții,Botoșani,Botoșani,+40 231 511 585,http://www.aquaterm.ro/contact/,,,firma,Aquaterm,,,Aquaterm,+40 231 511 585,http://www.aquaterm.ro/contact/,,Construcții,Botoșani,Botoșani,,,,botosani
arhidesign-center-botosani,Birou de arhitectură,Birou de arhitectură,Botoșani,Botoșani,+40 744 882 961,,,,firma,Arhidesign Center,,,Arhidesign Center,+40 744 882 961,,,Birou de arhitectură,Botoșani,Botoșani,,,,botosani
armonia-arhitectures-botosani,Serviciu de închiriere scule și unelte,Serviciu de închiriere scule și unelte,Botoșani,Botoșani,+40 742 774 646,,,,firma,Armonia Arhitectures,,,Armonia Arhitectures,+40 742 774 646,,,Serviciu de închiriere scule și unelte,Botoșani,Botoșani,,,,botosani
atelier-de-chei-botosani,Servicii de duplicare chei,Servicii de duplicare chei,Botoșani,Botoșani,+40 742 889 958,http://www.facebook.com/BTChei,,,firma,Atelier De Chei,,,Atelier De Chei,+40 742 889 958,http://www.facebook.com/BTChei,,Servicii de duplicare chei,Botoșani,Botoșani,,,,botosani
atelier-de-arhitectura-a25-s-r-l-botosani,Arhitect,Arhitect,Botoșani,Botoșani,+40 754 783 347,,,,firma,Atelier de arhitectura A25 S.R.L.,,,Atelier de arhitectura A25 S.R.L.,+40 754 783 347,,,Arhitect,Botoșani,Botoșani,,,,botosani
atelierul-de-sudura-botosani,Sudor,Sudor,Botoșani,Botoșani,+40 756 637 757,,,,firma,Atelierul de sudura,,,Atelierul de sudura,+40 756 637 757,,,Sudor,Botoșani,Botoșani,,,,botosani
auditor-energetic-botosani,Evaluator,Evaluator,Botoșani,Botoșani,+40 758 603 626,,,,firma,Auditor energetic,,,Auditor energetic,+40 758 603 626,,,Evaluator,Botoșani,Botoșani,,,,botosani
automatizari-porti-botosani-botosani,Furnizor de echipamente de construcții,Furnizor de echipamente de construcții,Botoșani,Botoșani,+40 786 524 545,http://urbantec.ro/automatizari-porti-si-usi-de-garaj,,,firma,Automatizari Porti Botosani,,,Automatizari Porti Botosani,+40 786 524 545,http://urbantec.ro/automatizari-porti-si-usi-de-garaj,,Furnizor de echipamente de construcții,Botoșani,Botoșani,,,,botosani
b-d-electro-service-botosani,Electrician,Electrician,Botoșani,Botoșani,+40 231 511 674,http://www.bdelectro-service.ro/,,,firma,B.D.ELECTRO SERVICE,,,B.D.ELECTRO SERVICE,+40 231 511 674,http://www.bdelectro-service.ro/,,Electrician,Botoșani,Botoșani,,,,botosani
bafoni-s-r-l-botosani,Tâmplar,Tâmplar,Botoșani,Botoșani,+40 740 908 048,https://www.paginiaurii.ro/companii/BOTO%C5%9EANI/L4539365/BAFONI+T%C3%82MPL%C4%82RIE/,,,firma,BAFONI S.R.L.,,,BAFONI S.R.L.,+40 740 908 048,https://www.paginiaurii.ro/companii/BOTO%C5%9EANI/L4539365/BAFONI+T%C3%82MPL%C4%82RIE/,,Tâmplar,Botoșani,Botoșani,,,,botosani
baza-de-aprovizionare-si-desfacere-b-a-d-s-a-botosani,Furnizori ai industriei metalice,Furnizori ai industriei metalice,Botoșani,Botoșani,+40 231 536 276,,,,firma,BAZA DE APROVIZIONARE ŞI DESFACERE B.A.D. S.A.,,,BAZA DE APROVIZIONARE ŞI DESFACERE B.A.D. S.A.,+40 231 536 276,,,Furnizori ai industriei metalice,Botoșani,Botoșani,,,,botosani
bitinstel-engineering-programul-casa-verde-2024-panouri-fotovoltaice-prize-de-in,Antreprenor de energie solară,Antreprenor de energie solară,Botoșani,Botoșani,+40 748 387 487,https://bitinstel.ro/,,,firma,"BITINSTEL Engineering - programul Casa Verde 2024 panouri fotovoltaice, prize de incarcare auto",,,"BITINSTEL Engineering - programul Casa Verde 2024 panouri fotovoltaice, prize de incarcare auto",+40 748 387 487,https://bitinstel.ro/,,Antreprenor de energie solară,Botoșani,Botoșani,,,,botosani
beton-construct-team-botosani,Materiale,Beton,Botoșani,Botoșani,+40 755 662 205,https://facebook.com/betonconstructteambotosani,47.7407,26.6658,Furnizor materiale,Beton Construct Team,,,Beton Construct Team,+40 755 662 205,https://facebook.com/betonconstructteambotosani,,Beton,Botoșani,Botoșani,,,,botosani
beton-expert-botosani-botosani,Materiale,Beton,Botoșani,Botoșani,+40 748 771 105,https://facebook.com/betonexpertbotosani,47.7407,26.6658,Furnizor materiale,Beton Expert Botoșani,,,Beton Expert Botoșani,+40 748 771 105,https://facebook.com/betonexpertbotosani,,Beton,Botoșani,Botoșani,,,,botosani
beton-mix-moldova-botosani,Materiale,Beton,Botoșani,Botoșani,+40 754 117 705,https://facebook.com/betonmixmoldova,47.7407,26.6658,Furnizor materiale,Beton Mix Moldova,,,Beton Mix Moldova,+40 754 117 705,https://facebook.com/betonmixmoldova,,Beton,Botoșani,Botoșani,,,,botosani
birou-cadastru-grd-cadastru-nord-est-botosani,Consultant în inginerie,Consultant în inginerie,Botoșani,Botoșani,+40 746 283 679,,,,firma,Birou cadastru - GRD CADASTRU NORD EST,,,Birou cadastru - GRD CADASTRU NORD EST,+40 746 283 679,,,Consultant în inginerie,Botoșani,Botoșani,,,,botosani
birou-cadastru-topomarcad-botosani,Topograf,Topograf,Botoșani,Botoșani,+40 743 586 260,https://www.firmecadastru.ro/firma/topomarcad-srl,,,firma,Birou cadastru TOPOMARCAD,,,Birou cadastru TOPOMARCAD,+40 743 586 260,https://www.firmecadastru.ro/firma/topomarcad-srl,,Topograf,Botoșani,Botoșani,,,,botosani
birou-de-cadastru-botosani,Oficiul de servicii de cadastru,Oficiul de servicii de cadastru,Botoșani,Botoșani,+40 746 939 301,,,,firma,Birou de cadastru,,,Birou de cadastru,+40 746 939 301,,,Oficiul de servicii de cadastru,Botoșani,Botoșani,,,,botosani
brico-depot-botosani-botosani,Magazin de bricolaj,Magazin de bricolaj,Botoșani,Botoșani,+40 31 433 5285,https://www.bricodepot.ro/,,,firma,Brico Depot Botosani,,,Brico Depot Botosani,+40 31 433 5285,https://www.bricodepot.ro/,,Magazin de bricolaj,Botoșani,Botoșani,,,,botosani
build-stone-premium-botosani,Materiale,Piatră decorativă,Botoșani,Botoșani,+40 756 111 105,https://facebook.com/buildstonepremiumbotosani,47.7407,26.6658,Furnizor materiale,Build Stone Premium,,,Build Stone Premium,+40 756 111 105,https://facebook.com/buildstonepremiumbotosani,,Piatră decorativă,Botoșani,Botoșani,,,,botosani
c-d-a-2-s-r-l-botosani,Magazin de ferestre din PVC,Magazin de ferestre din PVC,Botoșani,Botoșani,+40 231 510 182,,,,firma,C.D.A. 2 S.R.L.,,,C.D.A. 2 S.R.L.,+40 231 510 182,,,Magazin de ferestre din PVC,Botoșani,Botoșani,,,,botosani
cbc-hale-botosani,firma,Construcții,Botoșani,Botoșani,+40 744 532 456,https://cbchale.ro/,,,firma,CBC HALE,,,CBC HALE,+40 744 532 456,https://cbchale.ro/,,Construcții,Botoșani,Botoșani,,,,botosani
cdv-thermo-construct-botosani,Serviciu de montare de ferestre,Serviciu de montare de ferestre,Botoșani,Botoșani,+40 745 496 510,http://www.termopanebotosani.ro/,,,firma,CDV THERMO CONSTRUCT,,,CDV THERMO CONSTRUCT,+40 745 496 510,http://www.termopanebotosani.ro/,,Serviciu de montare de ferestre,Botoșani,Botoșani,,,,botosani
cesad-electric-botosani,Serviciu de instalare electrică,Serviciu de instalare electrică,Botoșani,Botoșani,+40 722 646 097,http://cesadelectric.ro/,,,firma,CESAD Electric,,,CESAD Electric,+40 722 646 097,http://cesadelectric.ro/,,Serviciu de instalare electrică,Botoșani,Botoșani,,,,botosani
cesarom-botosani-botosani,Firmă de construcții,Firmă de construcții,Botoșani,Botoșani,+40 744 582 443,http://termopane-cesaromsrl.ro/,,,firma,CESAROM Botosani,,,CESAROM Botosani,+40 744 582 443,http://termopane-cesaromsrl.ro/,,Firmă de construcții,Botoșani,Botoșani,,,,botosani
cezacom-s-r-l-botosani,firma,Construcții,Botoșani,Botoșani,+40 745 607 675,,,,firma,CEZACOM S.R.L.,,,CEZACOM S.R.L.,+40 745 607 675,,,Construcții,Botoșani,Botoșani,,,,botosani
conmag-materiale-de-constructii-echipamente-si-finisaje-botosani,Furnizor de materiale de construcții,Furnizor de materiale de construcții,Botoșani,Botoșani,+40 720 057 056,https://conmag.ro/,,,firma,"CONMAG|Materiale de constructii, echipamente si finisaje",,,"CONMAG|Materiale de constructii, echipamente si finisaje",+40 720 057 056,https://conmag.ro/,,Furnizor de materiale de construcții,Botoșani,Botoșani,,,,botosani
constar-s-r-l-botosani,Constructor de locuințe,Constructor de locuințe,Botoșani,Botoșani,+40 744 639 734,http://www.constarbotosani.ro/,,,firma,CONSTAR S.R.L.,,,CONSTAR S.R.L.,+40 744 639 734,http://www.constarbotosani.ro/,,Constructor de locuințe,Botoșani,Botoșani,,,,botosani
camere-supraveghere-botosani-suceava-botosani,Instalator sisteme de securitate,Instalator sisteme de securitate,Botoșani,Botoșani,+40 749 503 701,,,,firma,Camere Supraveghere Botosani - Suceava,,,Camere Supraveghere Botosani - Suceava,+40 749 503 701,,,Instalator sisteme de securitate,Botoșani,Botoșani,,,,botosani
caretta-botosani-botosani,Firmă specializată în acoperișuri,Firmă specializată în acoperișuri,Botoșani,Botoșani,+40 735 429 994,http://caretta.ro/,,,firma,Caretta Botosani,,,Caretta Botosani,+40 735 429 994,http://caretta.ro/,,Firmă specializată în acoperișuri,Botoșani,Botoșani,,,,botosani
castilio-botosani,Materiale,Depozit materiale construcții,Botoșani,Botoșani,+40 743 129 822,https://castilio.ro/,,,Furnizor materiale,Castilio,,,Castilio,+40 743 129 822,https://castilio.ro/,,Depozit materiale construcții,Botoșani,Botoșani,,,,botosani
castilio-srl-botosani,Magazin de gresie și faianță,Magazin de gresie și faianță,Botoșani,Botoșani,+40 231 511 999,http://www.castilio.ro/,,,firma,Castilio SRL,,,Castilio SRL,+40 231 511 999,http://www.castilio.ro/,,Magazin de gresie și faianță,Botoșani,Botoșani,,,,botosani
castilio-srl-magazin-feronerie-si-electrocasnice-botosani,Magazin de articole casnice,Magazin de articole casnice,Botoșani,Botoșani,+40 331 713 800,,,,firma,Castilio Srl - Magazin Feronerie si Electrocasnice,,,Castilio Srl - Magazin Feronerie si Electrocasnice,+40 331 713 800,,,Magazin de articole casnice,Botoșani,Botoșani,,,,botosani
castilio-srl-magazin-vopsele-bulevard-botosani,Magazin de vopsele,Magazin de vopsele,Botoșani,Botoșani,+40 231 511 333,http://www.castilio.ro/,,,firma,Castilio Srl - Magazin Vopsele Bulevard,,,Castilio Srl - Magazin Vopsele Bulevard,+40 231 511 333,http://www.castilio.ro/,,Magazin de vopsele,Botoșani,Botoșani,,,,botosani
castrol-service-rec-service-puskin-botosani,Mecanic,Mecanic,Botoșani,Botoșani,+40 745 665 428,http://recbt.ro/,,,firma,Castrol Service REC SERVICE PUSKIN,,,Castrol Service REC SERVICE PUSKIN,+40 745 665 428,http://recbt.ro/,,Mecanic,Botoșani,Botoșani,,,,botosani
cat-wood-line-botosani,Tâmplar,Tâmplar,Botoșani,Botoșani,+40 756 370 818,https://catwoodline.ro/,,,firma,Cat Wood Line,,,Cat Wood Line,+40 756 370 818,https://catwoodline.ro/,,Tâmplar,Botoșani,Botoșani,,,,botosani
certificat-energetic-botosani,Consultant în inginerie,Consultant în inginerie,Botoșani,Botoșani,+40 741 062 300,https://audit-constructii.ro/contact-auditor-energetic.html,,,firma,Certificat energetic,,,Certificat energetic,+40 741 062 300,https://audit-constructii.ro/contact-auditor-energetic.html,,Consultant în inginerie,Botoșani,Botoșani,,,,botosani
certificat-energetic-botosani-botosani,Consultant pentru construcții,Consultant pentru construcții,Botoșani,Botoșani,+40 744 487 324,,,,firma,Certificat energetic Botosani,,,Certificat energetic Botosani,+40 744 487 324,,,Consultant pentru construcții,Botoșani,Botoșani,,,,botosani
cherestea-botosani-botosani,Materiale,Cherestea,Botoșani,Botoșani,+40 754 832 618,,,,Furnizor materiale,Cherestea Botoșani,,,Cherestea Botoșani,+40 754 832 618,,,Cherestea,Botoșani,Botoșani,,,,botosani
cobrad-constructii-botosani-botosani,Construcții,Construcții,Botoșani,Botoșani,+40 745 136 665,http://www.cobrad.ro/,,,firma,Cobrad Constructii Botosani,,,Cobrad Constructii Botosani,+40 745 136 665,http://www.cobrad.ro/,,Construcții,Botoșani,Botoșani,,,,botosani
combustibilul-botosani,Magazine și zonă comercială,Magazine și zonă comercială,Botoșani,Botoșani,+40 231 530 510,http://www.combustibilul.ro/,,,firma,Combustibilul,,,Combustibilul,+40 231 530 510,http://www.combustibilul.ro/,,Magazine și zonă comercială,Botoșani,Botoșani,,,,botosani
combustibilul-srl-botosani,Materiale,Depozit materiale construcții,Botoșani,Botoșani,+40 231 514 268,https://combustibilul.ro/,,,Furnizor materiale,Combustibilul SRL,,,Combustibilul SRL,+40 231 514 268,https://combustibilul.ro/,,Depozit materiale construcții,Botoșani,Botoșani,,,,botosani
combustibilul-transport-botosani,Servicii,Transport materiale construcții,Botoșani,Botoșani,+40 231 515 005,https://combustibilul.ro/,,,Utilaje și transport,Combustibilul Transport,,,Combustibilul Transport,+40 231 515 005,https://combustibilul.ro/,,Transport materiale construcții,Botoșani,Botoșani,,,,botosani
construct-expert-team-botosani,Servicii,Construcții civile,Botoșani,Botoșani,+40 743 551 105,https://facebook.com/constructexpertteambotosani,47.7407,26.6658,Servicii construcții,Construct Expert Team,,,Construct Expert Team,+40 743 551 105,https://facebook.com/constructexpertteambotosani,,Construcții civile,Botoșani,Botoșani,,,,botosani
construct-metal-expert-botosani,Materiale,Construcții metalice,Botoșani,Botoșani,+40 749 228 805,,47.7407,26.6658,Furnizor materiale,Construct Metal Expert,,,Construct Metal Expert,+40 749 228 805,,,Construcții metalice,Botoșani,Botoșani,,,,botosani
construct-premium-botosani,Servicii,Finisaje,Botoșani,Botoșani,+40 746 221 105,https://facebook.com/constructpremiumbotosani,47.7407,26.6658,Servicii construcții,Construct Premium,,,Construct Premium,+40 746 221 105,https://facebook.com/constructpremiumbotosani,,Finisaje,Botoșani,Botoșani,,,,botosani
construct-premium-botosani-2,Servicii,Finisaje,Botoșani,Botoșani,+40 746 221 106,,,,Servicii construcții,Construct Premium BT 2,,,Construct Premium BT 2,+40 746 221 106,,,Finisaje,Botoșani,Botoșani,,,,botosani
construct-vision-botosani,Servicii,Construcții civile,Botoșani,Botoșani,+40 749 115 505,https://facebook.com/constructvisionbotosani,47.7407,26.6658,Servicii construcții,Construct Vision,,,Construct Vision,+40 749 115 505,https://facebook.com/constructvisionbotosani,,Construcții civile,Botoșani,Botoșani,,,,botosani
construct-vision-expert-botosani,Servicii,Construcții generale,Botoșani,Botoșani,+40 749 119 905,https://facebook.com/constructvisionexpertbotosani,47.7407,26.6658,Servicii construcții,Construct Vision Expert,,,Construct Vision Expert,+40 749 119 905,https://facebook.com/constructvisionexpertbotosani,,Construcții generale,Botoșani,Botoșani,,,,botosani
construct-vision-premium-botosani,Servicii,Construcții generale,Botoșani,Botoșani,+40 759 112 205,https://facebook.com/constructvisionpremiumbotosani,47.7407,26.6658,Servicii construcții,Construct Vision Premium,,,Construct Vision Premium,+40 759 112 205,https://facebook.com/constructvisionpremiumbotosani,,Construcții generale,Botoșani,Botoșani,,,,botosani
construct-vision-team-botosani,Servicii,Construcții generale,Botoșani,Botoșani,+40 759 112 285,https://facebook.com/constructvisionteambotosani,47.7407,26.6658,Servicii construcții,Construct Vision Team,,,Construct Vision Team,+40 759 112 285,https://facebook.com/constructvisionteambotosani,,Construcții generale,Botoșani,Botoșani,,,,botosani
